timestamp,source,name,symbol,price,1h %,24h %,7d %,market_cap,volume_24h,circulating_supply,status
2025-05-25T03:09:42.388873,coinmarketcap,Bitcoin,BTC,"$108,205.89",0.47%,0.20%,4.66%,"$2.15T$2,148,375,629,441","$45,687,722,279422.54K BTC",19.86M BTC,success
2025-05-25T03:09:42.388873,coinmarketcap,Ethereum,ETH,"$2,513.81",0.65%,1.24%,1.15%,"$303.14B$303,138,686,247","$11,610,718,3004.62M ETH",120.72M ETH,success
2025-05-25T03:09:42.388873,coinmarketcap,Tether,USDT,$1.00,0.00%,0.04%,0.01%,"$152.76B$152,761,985,250","$61,031,981,88361.02B USDT",152.73B USDT,success
2025-05-25T03:09:42.388873,coinmarketcap,XRP,XRP,$2.31,0.24%,0.45%,1.92%,"$136.02B$136,020,145,716","$1,510,922,445651.88M XRP",58.68B XRP,success
2025-05-25T03:09:42.388873,coinmarketcap,BNB,BNB,$666.31,0.35%,0.38%,3.71%,"$93.88B$93,876,521,385","$1,487,132,2892.23M BNB",140.88M BNB,success
2025-05-25T03:09:42.388873,coinmarketcap,Solana,SOL,$172.56,0.47%,1.37%,3.11%,"$89.78B$89,781,552,524","$3,145,556,45118.22M SOL",520.28M SOL,success
2025-05-25T03:09:42.388873,coinmarketcap,USDC,USDC,$0.9996,0.02%,0.02%,0.01%,"$61.71B$61,711,279,016","$7,627,794,5427.63B USDC",61.73B USDC,success
2025-05-25T03:09:42.388873,coinmarketcap,Dogecoin,DOGE,$0.2226,0.33%,2.47%,2.78%,"$33.27B$33,271,653,329","$1,249,762,4075.61B DOGE",149.4B DOGE,success
2025-05-25T03:09:42.388873,coinmarketcap,Cardano,ADA,$0.7419,0.59%,1.70%,0.09%,"$26.22B$26,216,674,390","$593,475,363799.87M ADA",35.33B ADA,success
2025-05-25T03:09:42.388873,coinmarketcap,TRON,TRX,$0.2694,0.04%,1.31%,1.18%,"$25.57B$25,567,494,931","$462,750,0691.71B TRX",94.87B TRX,success
